Hechos Intradia,,,,,,
,,,,,,
"Razon Social: PLA ADMINISTRADORA INDUSTRIAL, S. DE R.L. DE C.V. (FIBRA TERRA)",,,,,,
Ticker: TERRA,,,,,,
Serie: 13,,,,,,
Fecha Inicial: 8/11/2014,,,,,,
Fecha Final: 8/15/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
8/11/2014,10:09:00 AM,VECTOR CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:10:00 AM,VECTOR CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:11:00 AM,VECTOR CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:11:00 AM,GRUPO BURSATIL MEXICANO,CITIBANK,100,29.9,2990
8/11/2014,10:12:00 AM,VECTOR CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:13:00 AM,VECTOR CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:15:00 AM,VECTOR CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:16:00 AM,VECTOR CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:17:00 AM,VECTOR CASA DE BOLSA,CITIBANK,100,29.89,2989
8/11/2014,10:17:00 AM,VECTOR CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:17:00 AM,VECTOR CASA DE BOLSA,INTERACCIONES CASA DE BOL,100,29.89,2989
8/11/2014,10:18:00 AM,VECTOR CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:18:00 AM,VECTOR CASA DE BOLSA,C.B. VE POR MAS,419,29.89,12523.91
8/11/2014,10:19:00 AM,VECTOR CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:20:00 AM,VECTOR CASA DE BOLSA,CITIBANK,9083,29.9,271581.7
8/11/2014,10:21:00 AM,VECTOR CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:21:00 AM,VECTOR CASA DE BOLSA,INTERACCIONES CASA DE BOL,281,29.89,8399.09
8/11/2014,10:21:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,619,29.89,18501.91
